Model,MDO34
Firmware Version,1.10.4

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,2e-08,,,
Horizontal Delay,0,,,
Sample Interval,4e-10,,,
Record Length,1000,,,
Gating,0.1% to 100.0%,,,
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,1,0.2,0.2,0.2
Vertical Position,2.92,1.1,-0.76,-2.4
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-4.200e-08,0,0.052,0.28, -inf
-4.160e-08,0,0.1,0.368, -inf
-4.120e-08,0,-0.004,0.184, -inf
-4.080e-08,-0.04,-0.124,-0.016, -inf
-4.040e-08,-0.04,-0.068,0.096, -inf
-4.000e-08,-0.04,0.148,0.464, -inf
-3.960e-08,-0.04,0.316,0.792, -inf
-3.920e-08,0,0.308,0.888, -inf
-3.880e-08,-0.04,0.14,0.824, -inf
-3.840e-08,0,0.012,0.768, -inf
-3.800e-08,0,-0.044,0.76, -inf
-3.760e-08,0,0.02,0.784, -inf
-3.720e-08,0,0.084,0.8, -inf
-3.680e-08,0,0.1,0.808, -inf
-3.640e-08,0,0.052,0.792, -inf
-3.600e-08,-0.04,-0.004,0.696, -inf
-3.560e-08,0,-0.044,0.576, -inf
-3.520e-08,0,-0.004,0.536, -inf
-3.480e-08,0,0.06,0.632, -inf
-3.440e-08,-0.04,0.092,0.76, -inf
-3.400e-08,0,0.044,0.792, -inf
-3.360e-08,0,-0.044,0.704, -inf
-3.320e-08,-0.04,-0.06,0.632, -inf
-3.280e-08,0,0.012,0.648, -inf
-3.240e-08,-0.04,0.052,0.728, -inf
-3.200e-08,-0.04,0.02,0.736, -inf
-3.160e-08,0,-0.052,0.64, -inf
-3.120e-08,0,-0.052,0.496, -inf
-3.080e-08,0,-0.004,0.424, -inf
-3.040e-08,-0.04,0.012,0.416, -inf
-3.000e-08,-0.04,-0.012,0.4, -inf
-2.960e-08,-0.04,-0.036,0.36, -inf
-2.920e-08,0,-0.012,0.328,-0.528
-2.880e-08,0,0.004,0.304,-0.528
-2.840e-08,0,-0.02,0.264,-0.504
-2.800e-08,0,-0.036,0.24,-0.432
